GEOID,LEA,Textbooks,At-Risk,Classroom Supplies & Materials,Limited English Proficiency,Children with Disabilities,Low Wealth,Teacher Assistants,Disadvantaged Student Supplemental Funding,Instructional Support (Positions),Instructional Support (Dollars),Assistant Principals (Months),Assistant Principals (Dollars),Non-Instructional Support,Central Office,Professional Development & Mentoring,Community School Coordinator (Position),Community School Coordinator (Dollars),NC Virtual Public School,Career Development Coordinators (Position),Career Development Coordinators (Dollar),Classroom Teachers (Position),"Classroom Teachers 
(Dollar)",Principals (Position),"Principals 
(Dollar)",Transportation,Small County,CTE Teachers (Months of Employment),CTE Teachers (Dollar),CTE Program Support,CTE Program Support,Total
3701830,Granville County,"281,678",0,"216,610","425,611","4,828,783","4,408,441","1,930,788","2,438,093",36,"2,713,536",72,"610,577","1,955,209","659,637","45,358",0,0,"-127,406",0,0,333,"22,520,925",17,"1,812,659","2,043,782",0,373,"2,603,167","108,649","165,139","49,359,558"
3701920,Greene County,"113,438",0,"87,210","366,865","1,178,418","2,500,675","729,040","1,188,265",15,"1,210,980",29,"243,593","787,411","530,024","18,267",0,0,"-33,328",0,0,134,"9,297,201",6,"669,684","1,109,333","1,548,000",177,"1,172,979","48,871","48,301","22,701,789"
3701950,Guilford County,"2,828,367",0,"2,172,999","6,221,203","44,014,979",0,"19,810,268","12,344,395",360,"27,790,920",718,"6,052,222","19,632,549","2,199,685","455,449",0,0,"-689,612",0,0,"3,330","234,927,964",122,"13,704,992","25,945,846",0,"3,274","23,016,220","995,237","1,394,042","439,989,358"
3702010,Halifax County,"82,541",0,"63,417","66,234","1,506,985","1,227,793","630,061","5,643,774",11,"831,908",21,"181,709","572,940","652,222","13,291",0,0,"-52,230",0,0,100,"7,158,614",10,"1,108,680","1,397,699",0,131,"861,980","34,764","40,092","21,939,933"
3702040,Roanoke Rapids City,"110,600",0,"85,084","143,615","1,759,680","1,625,679","747,981","868,110",15,"1,156,125",29,"243,538","767,711","464,968","17,810",0,0,"-25,947",0,0,133,"9,417,715",5,"531,630","283,511",0,178,"1,289,432","49,074","47,155","19,472,871"
3702100,Weldon City,"29,459",0,"22,650","3,186","546,741","433,694","177,982","1,163,279",4,"309,568",8,"67,663","204,483","407,808","4,744",0,0,"-8,582",0,0,37,"1,987,229",4,"412,976","242,056",0,87,"588,729","21,299","19,664","6,605,169"
3702160,Harnett County,"812,016",0,"624,064","1,256,576","10,907,261","14,322,575","5,945,022","7,031,071",103,"7,810,181",206,"1,733,912","5,636,451","956,337","130,758",0,0,"-188,523",0,0,964,"63,445,587",29,"3,206,385","5,398,957",0,936,"6,484,608","280,608","352,233","135,334,063"
3702190,Haywood County,"278,640",0,"214,177","193,004","5,546,300",0,"2,044,188","1,237,518",36,"2,816,568",71,"597,973","1,934,122","772,607","44,869",0,0,"-128,509",0,0,333,"23,578,366",15,"1,621,050","1,708,681",0,361,"2,542,884","104,961","122,566","44,951,325"
3702250,Henderson County,"532,417",0,"408,921","1,264,770","8,012,748",0,"3,646,181","2,308,804",68,"5,160,452",135,"1,155,688","3,695,669","806,257","85,735",0,0,"-113,089",0,0,628,"44,314,772",23,"2,620,666","3,093,911",0,650,"4,490,200","193,224","231,195","81,376,104"
3702280,Hertford County,"103,725",0,"79,733","70,514","1,833,600","1,592,591","709,910","3,885,661",13,"1,062,984",27,"230,860","719,990","614,109","16,703",0,0,"-50,523",0,0,123,"8,358,799",7,"729,386","1,195,943","1,470,000",169,"1,194,492","46,503","53,265","23,814,520"
