GEOID,LEA,Textbooks,At-Risk,Classroom Supplies & Materials,Limited English Proficiency,Children with Disabilities,Low Wealth,Teacher Assistants,Disadvantaged Student Supplemental Funding,Instructional Support (Positions),Instructional Support (Dollars),Assistant Principals (Months),Assistant Principals (Dollars),Non-Instructional Support,Central Office,Professional Development & Mentoring,Community School Coordinator (Position),Community School Coordinator (Dollars),NC Virtual Public School,Career Development Coordinators (Position),Career Development Coordinators (Dollar),Classroom Teachers (Position),"Classroom Teachers 
(Dollar)",Principals (Position),"Principals 
(Dollar)",Transportation,Small County,CTE Teachers (Months of Employment),CTE Teachers (Dollar),CTE Program Support,CTE Program Support
3702040,Roanoke Rapids City,"223,231",0,"194,069","434,098","2,767,107","2,170,347","1,053,686","3,117,495",31,"2,389,325",35,"293,925","911,158","762,852","276,700", 3 ," 231,225 ", - , 3 ," 231,225 ", 133 ," 9,417,715 ", 5 ," 531,630 "," 283,511 ", - , 178 ," 1,289,432 "," 49,074 "," 47,155 "
3702100,Weldon City,"59,458",0,"51,679","9,631","859,754","592,841","274,266","4,177,487",11,"851,312",10,"84,579","242,690","669,072","73,700", 3 ," 232,176 ", - , 1 ," 77,392 ", 37 ," 1,987,229 ", 4 ," 412,976 "," 242,056 ", - , 87 ," 588,729 "," 21,299 "," 19,664 "
3702160,Harnett County,"1,638,940",0,"1,424,220","3,798,185","17,151,727","18,420,403","8,243,376","25,249,487",215,"16,302,805",254,"2,137,930","6,689,619","1,569,019","2,031,500", 11 ," 834,097 ", - , 18 ," 1,364,886 ", 964 ," 63,445,587 ", 29 ," 3,206,385 "," 5,398,957 ", - , 936 ," 6,484,608 "," 280,608 "," 352,233 "
3702190,Haywood County,"562,395",0,"488,747","583,384","8,721,586",0,"2,925,972","4,444,088",82,"6,415,516",87,"732,727","2,295,512","1,267,582","697,100", - , - , - , 7 ," 547,666 ", 333 ," 23,578,366 ", 15 ," 1,621,050 "," 1,708,681 ", - , 361 ," 2,542,884 "," 104,961 "," 122,566 "
3702250,Henderson County,"1,074,609",0,"933,563","3,822,952","12,600,089",0,"5,269,827","8,291,213",150,"11,383,350",167,"1,429,628","4,386,204","1,322,790","1,332,000", 9 ," 683,001 ", - , 12 ," 910,668 ", 628 ," 44,314,772 ", 23 ," 2,620,666 "," 3,093,911 ", - , 650 ," 4,490,200 "," 193,224 "," 231,195 "
3702280,Hertford County,"209,355",0,"181,944","172,676","2,883,346","2,101,691","1,036,894","13,953,911",31,"2,534,808",33,"282,162","854,519","1,007,541","259,500", 3 ," 245,304 ", - , 3 ," 245,304 ", 123 ," 8,358,799 ", 7 ," 729,386 "," 1,195,943 "," 1,470,000 ", 169 ," 1,194,492 "," 46,503 "," 53,265 "
3702310,Hoke County,"719,229",0,"624,753","1,629,759","8,395,243","9,774,051","4,084,606","38,283,261",97,"6,912,123",111,"938,682","2,935,661","1,035,513","891,500", 10 ," 712,590 ", - , 8 ," 570,072 ", 434 ," 27,534,745 ", 13 ," 1,430,650 "," 2,699,142 ", - , 400 ," 2,795,200 "," 117,005 "," 138,411 "
3702340,Hyde County,"45,017",0,"39,128","108,009","572,376",0,"247,679","2,631,074",7,"528,920",7,"58,419","183,746","762,294","55,800", 2 ," 151,120 ", - , 1 ," 75,560 ", 28 ," 1,929,049 ", 3 ," 292,107 "," 265,541 "," 1,710,000 ", 73 ," 471,726 "," 16,935 "," 10,118 "
3702370,Iredell-Statesville,"1,625,628",0,"1,412,782","3,147,382","15,010,572",0,"7,489,144","11,276,039",229,"18,130,159",252,"2,158,653","6,635,285","1,561,590","2,015,000", 10 ," 791,710 ", - , 20 ," 1,583,420 ", 938 ," 66,825,617 ", 36 ," 4,095,000 "," 5,327,859 ", - ," 1,017 "," 7,044,759 "," 305,507 "," 448,071 "
3702400,Mooresville City,"485,591",0,"422,064","690,704","5,635,361",0,"2,296,279","3,382,816",62,"4,681,682",75,"651,701","1,982,024","769,799","601,900", - , - , - , 6 ," 453,066 ", 283 ," 19,634,944 ", 9 ," 1,009,971 "," 1,122,019 ", - , 328 ," 2,347,824 "," 94,846 "," 108,438 "
