LEA,GEOID,Textbooks,At-Risk,Classroom Supplies & Materials,Limited English Proficiency,Children with Disabilities,Low Wealth,Teacher Assistants,Disadvantaged Student Supplemental Funding,Instructional Support (Positions),Instructional Support (Dollars),Assistant Principals (Months),Assistant Principals (Dollars),Non-Instructional Support,Central Office,Professional Development & Mentoring,Community School Coordinator (Position),Community School Coordinator (Dollars),NC Virtual Public School,Career Development Coordinators (Position),Career Development Coordinators (Dollar),Classroom Teachers (Position),"Classroom Teachers 
(Dollar)",Principals (Position),"Principals 
(Dollar)",Transportation,Small County,CTE Teachers (Months of Employment),CTE Teachers (Dollar),CTE Program Support,Driver Training,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,Yancey County,,
Edenton/Chowan Schools,3700840,"72,788","472,371","55,934","72,620","1,090,605","439,152","487,604","138,590",9,"693,450",19,"160,405","505,241","602,453",0,0,0,"-43,737",0,0,88,"6,247,961",4,"442,048","783,450","1,600,000",130,"883,480","34,324","30,737","14,769,476",,,,,,,,,,,,,,,,,,,,,,,,,,,Thomasville City,,
Edgecombe County Schools,3701320,"213,087","1,556,740","163,632","212,892","3,260,794","3,678,337","1,481,567","1,903,750",26,"1,963,962",54,"454,529","1,479,100","746,649",0,0,0,"-68,599",0,0,253,"17,199,403",14,"1,520,386","1,754,393",0,278,"1,943,498","79,826","105,765","39,649,710",,,,,,,,,,,,,,,,,,,,,,,,,,,Davie County,,
Elkin City Schools,3701380,"48,685","332,314","37,434","98,707","679,981","462,799","318,818","88,194",6,"451,080",13,"104,498","337,937","373,561",0,0,0,"-29,795",0,0,61,"4,445,217",4,"436,128","47,681",0,104,"722,072","26,374","21,382","9,003,067",,,,,,,,,,,,,,,,,,,,,,,,,,,Duplin County,,
Forsyth County Schools,3701500,"2,160,127","12,082,180","1,658,863","5,929,363","31,196,536",0,"14,365,575","2,125,048",257,"20,206,625",548,"4,662,319","14,994,096","1,662,414",0,0,0,"-215,373",0,0,"2,562","183,463,381",78,"9,004,398","14,745,194",0,"2,394","17,095,554","726,253","995,608","336,858,162",,,,,,,,,,,,,,,,,,,,,,,,,,,Durham County,,
Franklin County Schools,3701530,"316,453","1,779,583","243,577","377,505","4,484,198","3,370,187","2,006,680","1,997,250",38,"2,927,102",80,"682,188","2,196,593","679,083",0,0,0,"-164,750",0,0,369,"24,851,212",16,"1,719,296","2,434,998",0,421,"2,989,942","123,365","143,566","53,158,027",,,,,,,,,,,,,,,,,,,,,,,,,,,Edgecombe County,,
Gaston County Schools,3701620,"1,240,229","6,011,572","952,932","1,184,026","17,968,885","3,616,313","8,045,472","1,334,805",148,"10,946,968",315,"2,651,337","8,608,801","1,357,152",0,0,0,"-522,072",0,0,"1,465","100,740,316",58,"6,525,696","7,299,079",0,"1,414","10,040,814","426,686","611,874","189,040,885",,,,,,,,,,,,,,,,,,,,,,,,,,,Forsyth County,,
Gates County Schools,3701680,"62,515","337,286","48,023",0,"925,274","859,371","431,342","116,892",8,"611,872",16,"133,529","433,936","572,289",0,0,0,"-22,513",0,0,75,"5,366,788",5,"522,995","657,419","1,548,700",117,"791,505","30,467","27,491","13,455,181",,,,,,,,,,,,,,,,,,,,,,,,,,,Franklin County,,
Graham County Schools,3701770,"44,848","332,314","34,425","48,839","661,325","187,966","337,572","53,896",6,"470,388",12,"100,147","311,302","489,854",0,0,0,"-19,758",0,0,55,"3,897,439",3,"305,766","349,614","1,820,000",100,"775,800","25,359","17,564","10,244,659",,,,,,,,,,,,,,,,,,,,,,,,,,,Gaston County,,
Granville County Schools,3701800,"281,678","1,620,712","216,610","362,718","4,194,770","4,135,673","1,837,893","554,360",34,"2,562,784",72,"610,577","1,955,209","659,637",0,0,0,"-138,097",0,0,333,"22,520,925",17,"1,812,659","2,043,782",0,373,"2,603,167","108,649","165,139","48,108,845",,,,,,,,,,,,,,,,,,,,,,,,,,,Gates County,,
Greene County Schools,3701830,"113,438","779,169","87,210","366,865","1,178,418","2,362,266","693,899","270,181",14,"1,130,248",29,"243,593","787,411","530,024",0,0,0,"-36,125",0,0,134,"9,297,201",6,"669,684","1,109,333","1,548,000",177,"1,172,979","48,871","48,301","22,400,966",,,,,,,,,,,,,,,,,,,,,,,,,,,Graham County,,
Guilford County Schools,3701920,"2,828,367","16,122,040","2,172,999","5,622,288","41,379,774",0,"18,866,538","2,806,800",336,"25,938,192",718,"6,052,222","19,632,549","2,199,685",0,0,0,"-747,479",0,0,"3,330","234,927,964",122,"13,704,992","25,945,846",0,"3,274","23,016,220","995,237","1,394,042","442,858,276",,,,,,,,,,,,,,,,,,,,,,,,,,,Granville County,,
Halifax County Schools,3701950,"82,541","867,933","63,417","66,234","1,272,760","1,137,649","600,128","1,283,250",10,"756,280",21,"181,709","572,940","652,222",0,0,0,"-56,613",0,0,100,"7,158,614",10,"1,108,680","1,397,699",0,131,"861,980","34,764","40,092","18,082,277",,,,,,,,,,,,,,,,,,,,,,,,,,,Greene County,,
Harnett County Schools,3702010,"812,016","4,333,302","624,064","1,009,744","10,907,261","13,462,953","5,945,022","1,598,686",97,"7,355,219",206,"1,733,912","5,636,451","956,337",0,0,0,"-204,343",0,0,964,"63,445,587",29,"3,206,385","5,398,957",0,936,"6,484,608","280,608","352,233","133,339,001",,,,,,,,,,,,,,,,,,,,,,,,,,,Guilford County,,
